,nom_mag,addresse,lat,long
89,Aldi,"rue Emile Delva 132
1020 Laeken",50.8808881,4.341319475000001
90,Aldi,"Rue de Wand 28-30
1020 Laeken",50.8978971,4.3590651
91,Aldi,"Avenue Houba-de Strooper 755
1020 Laeken",50.89702685,4.328681953325713
92,Aldi,"Chaussée de Wavre 1805
1160 Auderghem",50.8158034,4.4306699
93,Aldi,"rue Jérusalem 48
1030 Schaerbeek",50.8659112,4.3782347
94,Aldi,"Chaussée de Louvain 612
1030 Schaerbeek",50.8548916,4.4001938
95,Aldi,"rue des Côteaux 249
1030 Schaerbeek",50.860784949999996,4.3776240990982505
96,Aldi,"Avenue Joseph Baeck 40
1080 Molenbeek-Saint-Jean",50.849365,4.3176394
97,Aldi,"rue de l'Intendant 53
1080 Molenbeek-Saint-Jean",50.8606658,4.3432499
98,Aldi,"Boulevard Louis Mettewie 44
1080 Molenbeek-Saint-Jean",50.8614768,4.3153403
99,Aldi,"Avenue Georges Henri 364
1200 Woluwe-Saint-Lambert",50.8428699,4.4080134
100,Aldi,"Chaussée d'Alsemberg 416
1180 Uccle",50.8125431,4.339136967216498
101,Aldi,"Chaussée de Néerstalle 56
1190 Forest",50.8075273,4.3160665
102,Aldi Supermarché,"Chaussée de Charleroi 127
6150 Anderlues",50.4062496,4.2896003
103,Aldi Supermarché,"Rue Louvieaux 5
7640 Antoing",50.570216849999994,3.4429764723651752
104,Aldi Supermarché,"Rue de Soignies 22
7800 Ath",50.629512250000005,3.787880754348323
105,Aldi Supermarché,"Rue Zéphirin Fontaine 76
7130 Binche",50.4194148,4.1686037
106,Aldi Supermarché,"Rue Neuve 123
7300 Boussu",50.4336471,3.7957101
107,Aldi Supermarché,"Rue de Trazegnies 173
6180 Courcelles",50.4626797,4.3545464
108,Aldi Supermarché,"Boulevard des Canadiens 6
7711 Dottignies",50.7298475,3.3240315
109,Aldi Supermarché,"Rue de la Corderie 17
7370 Dour",50.3981258,3.7702164
110,Aldi Supermarché,"Chaussée d'Ath 4
7850 Enghien",50.69060935,4.029801501380367
111,Aldi Supermarché,"Route de Mons 242
6560 Erquelinnes",50.3129507,4.1361873
112,Aldi Supermarché,"Chaussée de Gilly 38
6220 Fleurus",50.45447985,4.527002560152493
113,Aldi Supermarché,"Rue Notre-Dame de Grâces 48
7080 Frameries - La Bouverie",50.407207,3.8834297
114,Aldi Supermarché,"Rue de Maire 3
7503 Froyennes",50.624575,3.3703061
115,Aldi Supermarché,"Rue de Bertransart 72
6280 Gerpinnes",50.3349387,4.4846892
117,Aldi Supermarché,"Route de la Basse-Sambre 1
6061 Gilly",50.4208057,4.4716861
118,Aldi Supermarché,"Rue des Emailleries 8
6041 Gosselies",50.46882,4.4383438
119,Aldi Supermarché,"Rue de Marchienne 180
6534 Gozée",50.3452202,4.3614127
120,Aldi Supermarché,"Rue de la Déportation 14
7100 Haine-Saint-Paul",50.46399945,4.201983242029257
121,Aldi Supermarché,"Chaussée Paul Houtart 134
7110 Houdeng-Goegnies",50.4891168,4.1521866
122,Aldi Supermarché,"Avenue Wilson 493
7012 Jemappes",50.4485964,3.9019697
123,Aldi Supermarché,"Rue François Dewiest 77
6040 Jumet",50.4369946,4.417113378828015
124,Aldi Supermarché Rue de la Gratine,"Rue de la Grattine 6
7100 La Louvière",50.4844833,4.199060167052338
126,Aldi Supermarché,"Chaussée de Grammont 120
7860 Lessines",50.7234364,3.8342720135654607
127,Aldi Supermarché,"Rue du Bois Blanc 30 B
7900 Leuze-en-Hainaut",50.6016646,3.6200219
128,Aldi Supermarché Chaussée de Châtelet,"Chaussée de Châtelet 393
6042 Lodelinsart",50.4302919,4.4407102
129,Aldi Supermarché Chaussée de Bruxelles,"Chaussée de Bruxelles 389
6042 Lodelinsart",50.4250401,4.4404193
130,Aldi Supermarché Avenue Eugène Mascaux,"Avenue Eugène Mascaux 276
6001 Marcinelle",50.3878377,4.4341612
131,Aldi Supermarché Avenue de Philippeville,"Avenue de Philippeville 223
6001 Marcinelle",50.3958339,4.4570942
132,Aldi Supermarché,"Rue de Mons 138
6031 Monceau-sur-Sambre",50.4089579,4.3866107
133,Aldi Supermarché Chaussée de Maubeuge,"Chaussée de Maubeuge 482
7000 Mons",50.4273714,3.9475698
134,Aldi Supermarché Chaussée de Binche,"Chaussée de Binche 101
7000 Mons",50.4529253,3.9750066
135,Aldi Supermarché,"Chaussée de Bascoup 7
7140 Morlanwelz",50.469262,4.2646031
136,Aldi Supermarché Rue de la Liesse,"Rue de la Liesse 123
7700 Mouscron",50.7410287,3.234212
137,Aldi Supermarché Rue de Menin,"Rue de Menin 460
7700 Mouscron",50.7449908,3.2166518
138,Aldi Supermarché,"Chemin de la Blanche 90
7782 Ploegsteert",50.712869999999995,2.885491293971122
139,Aldi Supermarché,"Rue du Campinaire 80
6250 Pont-de-Loup",50.4139368,4.5437877
140,Aldi Supermarché,"Rue Neuve Chaussée 169
7600 Péruwelz",50.529701,3.6003217754502375
142,Aldi Supermarché,"Rue de Mons 164
7380 Quievrain",50.4075524,3.6895215
143,Aldi Supermarché,"Rue de la Flanière 2
6043 Ransart",50.453508,4.4845411
144,Aldi Supermarché,"Rue de la Rivierette 51
7333 Saint-Ghislain",50.4567461,3.8156345
145,Aldi Supermarché,"Chaussée du Roeulx 333
7060 Soignies",50.566994,4.0715648
146,Aldi Supermarché,"Rue de Roubaix 71bis
7520 Templeuve",50.6440664,3.2771315
147,Aldi Supermarché,"Rue de la Lys 18
7500 Tournai",50.601723,3.4032379
